smiles,dipm,gap,lumo,combined
N#N, 0.0, 4.129588237549, -8.1534, 8.286511762451
S=S, 0.0, 1.04098e-07, -10.2514, 10.365800104098
Brc1ccccc1-c1ccccc1-c1ccccc1-c1ccccc1, 3.237, 3.494056156285, -6.922, 10.927643843715
Ic1ccccc1, 3.682, 4.142552241292, -6.7381, 10.540247758708
C=CC=CC=C=CC=CC=C=O, 1.394, 2.499295898914, -7.2988, 9.6928
C=CC=CC=C=S, 1.356, 1.613214423231, -8.192, 10.548
Clc1ccccc1, 1.823, 4.353889054901, -6.5171, 8.248910945099
SI, 2.808, 2.66236967845, -8.1638, 11.9718
C=CC=CC=C=S, 1.359, 1.613382658631, -8.1925, 10.5515
S=NNI, 2.976, 1.602196827405, -8.8144, 12.790399999999998
Clc1ccccc1, 1.823, 4.35382249599, -6.5172, 8.24907750401
Fc1ccccc1, 2.187, 4.647701292257, -6.5446, 8.346598707743
C(=CC=CC=Cc1ccccc1)=Pc1ccccc1-c1ccccc1, 1.418, 2.145559217025, -7.5846, 10.002600000000001
OF, 2.383, 6.831166917865, -6.3112, 6.1257330821350005
P=S, 2.143, 0.876118062124, -9.4119, 12.545418062124
Ic1ccccc1, 3.682, 4.142564289275, -6.7381, 10.540235710725
N#CN, 4.793, 5.897737277743, -5.2952, 8.453162722257
C=CC=CC=C=CC=CC=CO, 0.968, 2.660573388136, -7.0411, 9.0091
P=S, 2.143, 0.876931044445, -9.4113, 12.545631044445
Fc1ccccc1-c1ccccc1P, 0.878, 3.5417893761, -6.9619, 8.5608106239
C#N, 2.622, 5.950167377823, -6.2916, 7.2261326221769995
C#N, 2.622, 5.950172891813, -6.2916, 7.226127108187
Ic1ccccc1, 3.682, 4.142583492067, -6.7381, 10.540216507933
OC=CC=CC=C=S, 3.867, 1.478595146829, -8.029, 12.896
Brc1ccccc1-c1ccccc1, 3.354, 3.777516514889, -6.9105, 10.749683485111
FCl, 1.864, 3.864131836074, -8.9457, 11.208268163926
S=CCC=C=NBr, 3.936, 1.391508080239, -8.8145, 13.7505
C=C=CC=CC=C, 0.715, 2.854294710357, -7.0184, 8.7334
CI, 3.691, 4.81458236822, -6.2957, 9.43481763178
BrSc1ccccc1, 4.545, 2.250766681487, -8.1153, 13.6603
C=CC=CC=C=O, 1.229, 2.581265353291, -7.3296, 9.5586
NC(I)=CC=CC=CF, 5.833, 2.498820310024, -7.3744, 14.2074
Fc1ccccc1-c1ccccc1, 1.926, 3.784380368218, -6.8779, 9.282219631781999
CPPc1ccccc1Br, 3.096, 3.183765369951, -7.0898, 11.1858
Clc1ccccc1, 1.823, 4.353807466264, -6.5172, 8.249092533736
C=CC=CC=C(P)P=S, 5.362, 0.893378296217, -9.0927, 15.4547
Clc1ccccc1-c1ccccc1, 1.622, 3.842920144152, -6.7746, 8.816379855848
Brc1ccccc1, 3.566, 4.119358948496, -6.7788, 10.488141051504
O=CC=C=C=S, 1.665, 0.52156381911, -9.9522, 12.25316381911
Pc1ccccc1I, 4.26, 3.797030248852, -7.0644, 11.790069751148
O=O, 0.0, 1.81e-10, -12.0513, 12.165700000181
FS, 1.942, 2.968609150174, -7.8041, 10.7461
PBr, 4.222, 4.376316863317, -7.1912, 11.299583136683001
C=CC=CC=C=PCC=CC=CC=C=O, 1.275, 2.230067876972, -7.4566, 9.7316
O=C=CC=CC=CCPP, 1.439, 2.473792062169, -7.3138, 9.7528
NBr, 2.822, 3.656421227581, -7.1969, 10.625178772419
NC=CC=CC=C=S, 4.777, 1.314888555971, -7.8062, 13.5832
C=CC=CC=C(C)C=CC=CCl, 2.168, 1.821854973936, -7.8919, 11.059899999999999
NPc1ccccc1Br, 3.083, 3.223930787671, -7.0018, 11.084800000000001
S=Cc1ccccc1, 3.857, 1.047109528215, -8.6733, 13.5303
Fc1ccccc1, 2.187, 4.647665985789, -6.5446, 8.346634014211
Brc1ccccc1, 3.566, 4.119351807497, -6.7789, 10.488248192503
O=C=CC=CC=CP=C=CC=CC=CN=C=C=CC=CC=CP, 2.768, 1.00064204617, -8.4417, 12.209700000000002
Brc1ccccc1-c1ccccc1-c1ccccc1, 3.405, 3.679717028367, -6.9032, 10.891182971633
